Ward,Division,Address,latitude,longitude,Name,Building Accessibility,Parking Accessibility
1.0,1.0,1501 S 10TH ST,39.9305452218496,-75.1609632832955,ANNUNCIATION CHURCH,B,N
1.0,2.0,1501 S 10TH ST,39.9305452218496,-75.1609632832955,ANNUNCIATION CHURCH,B,N
1.0,3.0,1430 E PASSYUNK AVE,39.9318945757415,-75.1623423868193,SO PHILA OLDER ADULT CENTER,F,L
1.0,4.0,1736 S 10TH ST,39.9275420232936,-75.1619974496777,SS NEUMANN GORETTI HIGH SCHOOL,A,L
1.0,5.0,1815 S 08TH ST,39.9262098375869,-75.1588205375956,GARAGE,B,N
1.0,6.0,3RD & MIFFLIN STS,39.9243062922007,-75.1501019582784,FURNESS SCHOOL,A,N
1.0,7.0,6TH & SNYDER AVE,39.9226896011199,-75.1566276525568,FORD RECREATION CENTER,F,N
1.0,8.0,1736 S 10TH ST,39.9275420232936,-75.1619974496777,SS NEUMANN GORETTI HIGH SCHOOL,B,L
1.0,9.0,1501 S 10TH ST,39.9305452218496,-75.1609632832955,ANNUNCIATION CHURCH,B,N
1.0,10.0,1430 E PASSYUNK AVE,39.9318945757415,-75.1623423868193,SO PHILA OLDER ADULT CENTER,F,L
1.0,11.0,1200 WHARTON ST,39.9331551189469,-75.1647773084023,COLUMBUS SQUARE REC CENTER,F,N
1.0,12.0,641 REED ST,39.9315177696693,-75.1558749029891,CHOBERT DECORATORS GARAGE,M,N
1.0,13.0,410 WHARTON ST,39.9319217910824,-75.1517641616867,MT MORIAH CHURCH,M,N
1.0,14.0,4TH & TASKER STS,39.9283379002628,-75.1521315571668,DICKINSON SQUARE REC CENTER,F,L
1.0,15.0,4TH & TASKER STS,39.9283379002628,-75.1521315571668,DICKINSON SQUARE REC CENTER,F,L
1.0,16.0,410 WHARTON ST,39.9319217910824,-75.1517641616867,MT MORIAH CHURCH,M,N
1.0,17.0,250 REED ST,39.9305279776558,-75.1497111216902,HERRON RECREATION CENTER,M,N
1.0,18.0,1728 S 02ND ST,39.9258784595354,-75.1497622002173,OREGON NEW YEARS ASSOC,F,N
1.0,19.0,250 REED ST,39.9305279776558,-75.1497111216902,HERRON RECREATION CENTER,M,N
1.0,20.0,1200 WHARTON ST,39.9331551189469,-75.1647773084023,COLUMBUS SQUARE REC CENTER,F,N
1.0,21.0,1728 S 2ND ST,39.9258784595354,-75.1497622002173,OREGON NEW YEARS ASSOC,F,N
2.0,1.0,1100 S 02ND ST,39.9336418129025,-75.1473373563129,MUMMERS MUSEUM,B,N
2.0,2.0,240 WASHINGTON AVE,39.9337643592323,-75.1490894808459,FIRE ENGINE CO # 03,B,L
2.0,3.0,612-32 WASHINGTON AVE,39.9345337832603,-75.1546859705342,SAIGON MAXIM RESTAURANT,M,L
2.0,4.0,612-32 WASHINGTON AVE,39.9345337832603,-75.1546859705342,SAIGON MAXIM RESTAURANT,M,L
2.0,5.0,1013 ELLSWORTH ST,39.9358081197865,-75.1606414969698,ST MARONS CHURCH,M,L
2.0,6.0,1200 WHARTON ST,39.9331551189469,-75.1647773084023,COLUMBUS SQUARE REC CENTER,F,N
2.0,7.0,1013 ELLSWORTH ST,39.9358081197865,-75.1606414969698,ST MARONS CHURCH,M,L
2.0,8.0,1013 ELLSWORTH ST,39.9358081197865,-75.1606414969698,ST MARONS CHURCH,M,L
2.0,9.0,11TH & CATHARINE STS,39.9401341157696,-75.1607596004517,ACADEMY AT PALUMBO SCHOOL,M,N
2.0,10.0,1013 ELLSWORTH ST,39.9358081197865,-75.1606414969698,ST MARONS CHURCH,M,L
2.0,11.0,928 S 7TH ST,39.9372293737391,-75.1552359072049,SANTORE (SOUTHWARK) LIBRARY,A,N
2.0,12.0,612-32 WASHINGTON AVE,39.9345337832603,-75.1546859705342,SAIGON MAXIM RESTAURANT,M,L
2.0,13.0,1021 S 04TH ST,39.9353424011422,-75.1505572983623,ACTIVITIES CTR @ THE TOWER,F,L
2.0,14.0,1021 S 04TH ST,39.9353424011422,-75.1505572983623,ACTIVITIES CTR @ THE TOWER,F,L
2.0,15.0,242 FITZWATER ST,39.9385418157085,-75.1475865900654,ST STANISLAUS PARISH HALL,M,L
2.0,16.0,400 CATHARINE ST,39.9382222888566,-75.1499474454681,WECCACOE RECREATION CENTER,M,N
2.0,17.0,719 CATHARINE ST,39.9392209894304,-75.1552597615558,FLEISHER ART MEMORIAL,R,L
2.0,18.0,9TH & BAINBRIDGE STS,39.9417384333802,-75.1572531368761,PALUMBO RECREATION CENTER,F,N
2.0,19.0,11TH & CATHARINE STS,39.9401341157696,-75.1607596004517,ACADEMY AT PALUMBO SCHOOL,M,N
2.0,20.0,711 S BROAD ST,39.9425283547533,-75.1653911944821,FIREHOUSE,M,N
2.0,21.0,711 S BROAD ST,39.9425283547533,-75.1653911944821,FIREHOUSE,M,N
2.0,22.0,9TH & BAINBRIDGE STS,39.9417384333802,-75.1572531368761,PALUMBO RECREATION CENTER,F,N
2.0,23.0,9TH & BAINBRIDGE STS,39.9417384333802,-75.1572531368761,PALUMBO RECREATION CENTER,F,N
2.0,24.0,719 CATHARINE ST,39.9392209894304,-75.1552597615558,FLEISHER ART MEMORIAL,R,L
2.0,25.0,707 E PASSYUNK AVE,39.9404330720692,-75.1508143848112,WALLPAPER STORE,R,N
2.0,26.0,242 FITZWATER ST,39.9385418157085,-75.1475865900654,ST STANISLAUS PARISH HALL,M,L
2.0,27.0,242 FITZWATER ST,39.9385418157085,-75.1475865900654,ST STANISLAUS PARISH HALL,M,L
3.0,1.0,143 S 60TH ST,39.959296445297,-75.2410670500311,BABYS SALON,M,N
3.0,2.0,6224 MARKET ST,39.9622389537135,-75.245651407176,MEMORIAL GOSPEL CHURCH,R,L
3.0,3.0,6212 WALNUT ST,39.9589068324784,-75.2463630605933,CARE PAVILION,A,L
3.0,4.0,6212 WALNUT ST,39.9589068324784,-75.2463630605933,CARE PAVILION,A,L
3.0,5.0,5843 SPRUCE ST,39.9564704058606,-75.2391765928467,TABERNACLE LUTHERAN CHURCH,M,N
3.0,6.0,286 S 62ND ST,39.95735706587,-75.246070447689,GARAGE/OFFICE,R,N
3.0,7.0,5843 SPRUCE ST,39.9564704058606,-75.2391765928467,TABERNACLE LUTHERAN CHURCH,M,N
3.0,8.0,6150 CEDAR AVE,39.9526692805454,-75.2465750528941,CHRISTIAN COMPASSION CDC,F,L
3.0,9.0,6150 CEDAR AVE,39.9526692805454,-75.2465750528941,CHRISTIAN COMPASSION CDC,F,L
3.0,10.0,520 S 61ST ST,39.9532035918581,-75.245010265871,ST GEORGE ST BARNABAS CHURCH,M,L
3.0,11.0,61ST & COBBS CREEK PKWY,39.9465611222358,-75.2460001665393,ANDERSON SCHOOL,F,L
3.0,12.0,60TH & CEDAR AVE,39.9524335641187,-75.2427548479932,BRYANT SCHOOL,M,L
3.0,13.0,60TH & CEDAR AVE,39.9524335641187,-75.2427548479932,BRYANT SCHOOL,M,L
3.0,14.0,60TH & CEDAR AVE,39.9524335641187,-75.2427548479932,BRYANT SCHOOL,M,L
3.0,15.0,61ST & COBBS CREEK PKWY,39.9465611222358,-75.2460001665393,ANDERSON SCHOOL,F,L
3.0,16.0,61ST & COBBS CREEK PKWY,39.9465611222358,-75.2460001665393,ANDERSON SCHOOL,F,L
3.0,17.0,59TH & BALTIMORE AVE,39.9452987995869,-75.2417718656893,BLANCHE NIXON LIBRARY,F,L
3.0,18.0,59TH & BALTIMORE AVE,39.9452987995869,-75.2417718656893,TURNER SCHOOL,F,L
3.0,19.0,5841 CATHARINE ST,39.950785646526,-75.2403036921365,SHARON COMMUNITY CENTER,F,L
3.0,20.0,58TH & WILLOWS AVE,39.9402930418165,-75.2336331558821,LONGSTRETH SCHOOL,F,L
3.0,21.0,58TH & KINGSESSING AVE,39.9346625610584,-75.2272522951339,FRANCIS MYERS REC CENTER,A,L
3.0,22.0,58TH & WILLOWS AVE,39.9402930418165,-75.2336331558821,LONGSTRETH SCHOOL,F,L
4.0,1.0,5501 MARKET ST,39.9616467461064,-75.231644230199,SALVATION ARMY,M,L
4.0,2.0,5620 WYALUSING AVE,39.9684269741874,-75.2328847886031,CAMPHOR MEMORIAL U M CHURCH,F,L
4.0,3.0,5620 WYALUSING AVE,39.9684269741874,-75.2328847886031,CAMPHOR MEMORIAL U M CHURCH,F,L
4.0,4.0,53RD & MEDIA STS,39.975616855977,-75.2279457013354,CONESTOGA COMM REC CENTER,F,L
